Date,High,Low,Open,Close,Volume,Adj Close,Symbol,Pct_Change
2019-01-03,7.884615421295166,7.480769157409668,7.711538314819336,7.75,127866900,7.726002693176269,GE,0.12422407694858695
2019-01-04,7.942307472229004,7.67307710647583,7.875,7.913461685180664,124887100,7.888957977294923,GE,2.1091830345892237
2019-01-07,8.451923370361326,7.971153736114503,8.22115421295166,8.40384578704834,186871700,8.377823829650879,GE,6.196834222196412
2019-01-08,8.692307472229004,8.192307472229004,8.567307472229004,8.230769157409668,152859600,8.205283164978027,GE,-2.0594931656814808
2019-01-09,8.423076629638674,7.865384578704834,8.192307472229004,8.173076629638674,120958500,8.147768974304201,GE,-0.7009372595398022
2019-01-10,8.605769157409668,8.163461685180664,8.173076629638674,8.59615421295166,116835100,8.569535255432129,GE,5.1764788522690175
2019-01-11,8.605769157409668,8.384614944458008,8.52884578704834,8.59615421295166,83896000,8.569535255432129,GE,0.0
2019-01-14,8.65384578704834,8.423076629638674,8.47115421295166,8.557692527770996,84945200,8.531193733215332,GE,-0.44742898077275717
2019-01-15,8.586538314819336,8.365385055541992,8.567307472229004,8.394230842590332,97820500,8.368239402770996,GE,-1.9101140248987236
2019-01-16,8.65384578704834,8.326923370361326,8.375,8.634614944458008,87636300,8.607878684997559,GE,2.86368228817373
